perturbation_dataset	cell_type	closest_in_magnum_394
replogle	RPE-1	retinal_pigment_epithelial_cells.parquet
replogle	K562	chronic_myelogenous_leukemia_cml_cell_line.parquet
replogle	ESC/iPSC	teratocarcinoma_cell_line.parquet
cmap	A549	lung_adenocarcinoma_cell_line.parquet
cmap	MCF7	breast_carcinoma_cell_line.parquet
cmap	HEK293T	embryonic_kidney_cell_line.parquet
cmap	HEPG2	hepatocellular_carcinoma_cell_line.parquet
cmap	HELA	epitheloid_cancer_cell_line.parquet
cmap	THP1	acute_myeloid_leukemia_fab_m5_cell_line.parquet
cmap	PC3	None
cmap	A375	None
cmap	HA1E	None
cmap	HT29	None
cmap	VCAP	None
cmap	HCC515	None
cmap	U2OS	None
cmap	YAPC	None
cmap	AALE	None
cmap	NPC	None
cmap	MCF10A	None
cmap	H1299	None
cmap	SALE	None
cmap	ES2	None
