,pruning,network,spearman,cell_fate_correct,spearman_se,cell_fate_correct_se,numEdges
0,harsh,cellOracle,0.20316456059467608,0.06,0.009669955135768566,0.03392669167725119,5134330.0
2,harsh,cellnet,0.20337276780433178,0.06,0.009444605409277431,0.03392669167725119,201422.0
4,harsh,dense,0.20487569097544026,0.08,0.009347368538390053,0.038756171332144394,102313295.0
6,harsh,fantom5,0.20321310895431588,0.04,0.00961056720133526,0.027994168488950602,3246008.0
8,harsh,random0.1,0.2032988798163068,0.08,0.009358081173748495,0.038756171332144394,10227517.0
1,none,cellOracle,0.24474821611000547,0.06,0.020319863878634853,0.03392669167725119,5134330.0
3,none,cellnet,0.20465745896991033,0.06,0.009518315514878854,0.03392669167725119,201422.0
5,none,dense,0.31467907030157066,0.1,0.020055933387702278,0.04285714285714285,102313295.0
7,none,fantom5,0.26471327838819514,0.08,0.020678367915195544,0.03875617133214439,3246008.0
9,none,random0.1,0.2287980527089773,0.08,0.013427523594697057,0.038756171332144394,10227517.0
